HGP,E1VFVN30,HAI,DLG,FIT,FLT,HQC,GEX,PVD,MSN,PVI,VRE,DXG,SJF,AMD,VHM,EVG,HVN,SCR,SFG,VGC,BFC,TCH,PHR,BVH,TDM,HAH,KSB,SKG,BCM,VNS,CNG,TTB,LPB,DAH,HTN,NHA,CSV,DHG,SVC,IJC,FPT,DVP,C32,BIC,BMC,STB,SCD,HCD,CTS,MSH,TNI,BMP,NSC,HBC,SFI,UIC,SAV,TVB,LIX,FMC,GMC,FVN,NHH,VHC,DGC,HSG,VTB,SMB,CLC,HDC,TVS,IDI,DHA,APC,FCM,ACC,BMI,GVR,FUCVREIT,DSN,TNA,CMX,TCL,DQC,GSP,PME,PET,PJT,LBM,PAC,SZL,GDT,KHP,GIL,PGC,MCG,FUESSV50,PAN,VSH
46.4,24.56,8.1,9.36,14.95,8.8,40.65,24.71,142.5,24.1,30.1,35.0,12.05,8.2,79.67,16.41,23.15,21.35,18.37,50.72,32.7,25.42,71.3,56.0,35.0,47.94,45.3,17.45,64.0,11.25,30.15,11.35,20.16,11.95,45.0,75.0,42.55,109.44,105.6,31.3,93.0,58.8,32.36,29.85,24.76,31.5,21.2,13.75,42.92,79.1,9.24,57.24,81.0,30.25,69.92,57.61,23.77,23.76,50.3,50.47,26.6,27.5,31.28,62.8,159.9,37.4,12.6,41.7,37.0,95.0,60.5,16.0,51.1,25.6,12.0,16.0,41.61,36.95,11.4,50.8,16.9,19.15,40.0,32.4,15.75,80.2,36.55,11.9,84.1,36.01,65.1,56.51,21.58,64.0,23.8,10.6,21.5,38.5,27.85,42.9
45.7,24.56,8.38,9.75,15.05,9.06,38.0,25.13,142.92,23.8,30.5,35.0,12.3,8.37,79.28,16.26,23.2,22.05,17.19,50.53,32.2,26.06,70.8,55.1,34.5,48.43,44.9,17.6,64.0,11.15,30.3,11.35,20.07,12.35,45.3,76.0,42.0,110.31,113.5,31.15,93.6,58.9,32.22,29.5,25.05,30.5,21.15,13.6,42.64,79.1,9.76,56.85,82.4,29.95,70.11,57.04,23.73,24.39,50.7,48.72,27.9,28.3,30.5,63.2,158.0,36.9,12.25,42.0,36.8,94.9,60.9,15.55,50.28,25.6,12.3,14.97,41.46,37.0,11.45,51.8,17.0,18.95,40.1,32.35,15.9,80.2,37.3,12.05,82.02,36.01,62.8,55.71,20.18,64.0,23.7,9.95,21.5,38.45,27.94,44.6
45.8,24.56,8.5,10.25,15.55,9.38,37.0,25.08,143.33,23.7,30.55,35.7,11.5,8.51,79.38,16.11,23.2,22.65,17.48,48.24,33.0,26.39,70.8,55.2,35.5,48.15,45.55,17.6,64.0,11.2,30.0,11.5,20.12,11.6,44.6,74.2,41.8,109.83,113.6,30.5,93.6,58.9,32.22,29.4,24.66,29.5,19.9,13.45,39.86,78.8,9.13,56.19,81.81,30.7,70.99,57.51,23.6,23.35,50.2,49.89,27.55,28.55,30.03,63.5,159.0,36.9,12.2,42.0,36.8,93.1,60.5,14.55,50.37,25.6,12.5,14.01,40.51,36.9,11.4,49.9,16.9,19.0,39.7,32.6,15.8,80.2,36.6,12.05,82.02,36.4,63.0,55.26,18.89,65.0,22.9,9.3,21.5,37.5,27.94,44.7
45.8,24.56,8.42,10.5,15.05,9.56,39.2,24.71,142.92,23.75,30.8,35.85,11.55,8.65,80.45,15.07,23.1,23.1,17.48,50.53,33.6,27.18,71.7,55.7,36.05,48.29,44.6,17.6,65.9,11.1,30.0,11.95,19.62,12.0,46.15,75.6,42.5,112.25,122.1,31.75,94.5,58.12,32.7,28.9,24.47,30.05,19.75,13.85,37.27,78.8,8.54,57.24,79.96,30.1,70.6,57.7,23.43,23.35,50.2,50.08,27.65,29.95,30.03,64.5,160.8,35.9,12.25,42.09,36.7,94.8,62.3,14.7,50.92,25.8,12.05,13.1,41.18,37.85,11.8,48.5,16.1,18.7,39.6,32.95,15.75,80.2,36.5,12.05,82.02,36.4,63.0,53.93,17.68,65.0,22.85,9.35,21.5,37.85,27.75,45.4
45.9,24.56,8.4,10.05,14.09,9.18,39.0,24.71,140.83,24.0,31.3,35.2,11.45,8.47,80.45,14.95,23.35,22.1,17.48,50.82,34.0,27.36,72.0,56.1,35.0,48.85,41.7,18.1,65.0,11.1,30.5,12.05,19.49,11.95,45.8,71.2,41.5,111.96,131.2,32.05,94.5,58.7,31.3,28.9,24.37,28.1,20.0,14.15,37.13,79.2,8.25,56.76,80.05,28.7,70.11,58.27,23.77,23.44,50.6,49.79,27.0,29.4,29.01,63.2,160.8,35.25,12.1,42.29,36.7,93.0,66.9,14.3,49.46,25.85,11.3,12.25,41.13,38.6,11.8,48.6,15.05,19.25,39.8,30.85,15.95,80.2,37.0,11.7,82.02,36.99,65.0,52.86,16.53,64.0,22.8,9.3,21.5,37.5,27.8,44.2
46.05,24.56,8.08,9.4,14.09,8.8,36.9,24.08,142.5,23.8,31.25,34.4,11.8,8.13,80.55,15.89,23.3,22.1,17.29,51.01,33.85,25.6,73.6,56.0,34.7,48.36,40.6,18.55,65.5,11.25,30.4,11.65,19.62,12.4,47.2,70.1,42.2,114.38,131.2,32.4,93.8,58.51,30.91,29.3,23.98,28.2,19.8,14.4,36.76,78.7,8.22,55.9,80.05,28.4,70.11,58.93,23.43,23.35,50.2,49.11,25.5,29.5,28.86,62.5,158.91,35.7,12.2,42.39,37.0,93.0,67.0,14.5,46.27,25.9,11.2,12.23,42.47,39.05,11.25,48.6,14.1,19.1,40.0,29.0,15.9,80.2,35.6,11.85,81.13,36.06,64.4,54.19,15.47,64.0,22.7,9.83,21.5,37.5,27.85,44.6
44.95,24.56,8.24,9.69,13.86,9.07,34.5,23.79,142.5,23.7,31.0,33.95,11.95,8.38,80.16,15.66,23.1,22.0,17.34,51.39,34.45,25.79,75.0,54.9,34.8,47.44,40.5,18.7,67.4,11.05,30.7,12.05,18.67,12.3,47.55,71.4,43.05,119.42,131.2,32.85,93.2,58.9,31.2,29.1,23.98,27.4,19.8,14.25,35.46,78.0,8.37,55.9,79.08,28.05,69.52,57.42,22.58,23.26,50.2,47.46,26.0,30.3,29.32,62.0,158.02,35.1,12.05,41.31,37.0,92.0,65.1,15.25,46.63,25.9,11.7,12.18,42.8,39.0,11.7,47.5,13.2,19.2,39.75,29.0,15.9,80.2,35.0,11.75,82.02,36.79,64.7,52.59,15.38,63.6,22.7,9.81,21.5,37.15,27.9,44.95
45.1,24.56,8.85,9.06,14.73,9.1,36.9,22.25,141.67,22.8,31.5,36.5,11.2,9.0,83.27,15.44,23.1,23.2,17.68,51.58,35.3,26.11,73.0,56.5,35.0,48.71,41.3,17.5,68.3,11.0,29.95,11.3,18.94,11.5,47.95,76.3,44.3,123.87,141.0,33.4,95.0,57.92,32.26,29.2,24.13,27.65,19.8,13.75,37.78,80.4,8.64,58.29,79.08,26.25,70.6,57.61,23.69,24.66,51.0,48.72,26.5,28.35,30.03,64.2,161.8,34.35,12.2,41.41,37.2,98.8,60.9,14.75,47.27,26.15,10.95,12.16,43.71,39.0,11.45,47.7,13.2,20.1,40.0,28.15,15.65,80.2,35.55,11.9,82.42,36.21,65.5,53.03,15.62,65.0,22.6,10.0,21.5,38.8,27.9,45.8
46.1,24.56,8.6,8.47,14.77,8.6,38.5,22.83,138.83,23.25,31.4,35.85,12.0,8.6,83.56,14.66,23.35,22.75,18.57,55.11,36.2,24.44,71.7,57.0,34.6,49.07,42.6,17.5,67.9,11.25,29.5,11.45,19.26,10.75,46.0,75.6,45.0,125.91,132.9,31.8,95.2,58.31,31.78,29.65,24.13,28.2,19.9,13.55,38.66,80.0,8.29,59.43,81.03,25.95,71.58,58.08,23.86,25.78,51.0,49.4,26.75,26.5,30.03,65.9,159.91,34.85,12.2,41.41,37.2,101.6,57.0,15.0,47.54,26.0,10.45,12.28,44.37,37.7,11.5,48.0,13.1,20.75,40.4,28.4,15.9,80.2,34.3,11.9,82.62,36.84,65.9,53.3,15.19,64.3,22.6,10.05,21.5,39.3,27.85,45.6
46.9,24.56,8.4,8.4,13.86,8.26,39.9,22.29,135.0,23.15,31.05,35.5,12.7,8.25,81.13,13.72,23.7,21.65,17.78,55.96,35.05,22.87,71.2,56.6,33.7,48.57,42.0,17.0,68.0,11.0,29.15,11.8,19.53,10.9,46.7,70.7,45.35,124.46,132.9,31.35,95.8,58.8,30.52,29.5,24.61,28.65,20.45,13.9,39.49,80.6,8.25,59.43,81.03,25.5,72.86,57.61,23.94,24.12,51.0,50.47,26.0,26.65,28.62,65.0,166.47,35.7,12.2,42.0,37.4,101.1,53.3,15.2,48.27,25.25,10.3,12.3,42.66,37.6,11.2,47.8,13.15,20.8,40.7,28.8,15.95,80.2,32.1,11.9,84.1,36.84,65.2,52.41,15.86,65.2,22.5,10.1,21.5,38.95,27.85,44.6
46.7,24.56,8.24,8.3,14.09,8.0,40.95,23.17,131.25,24.0,30.8,36.2,12.3,8.15,82.1,13.72,23.45,21.5,16.89,58.63,35.6,23.33,73.0,57.6,34.7,49.92,39.95,17.3,67.9,11.3,30.15,11.1,19.71,11.1,47.8,66.1,45.7,119.71,132.9,32.65,96.4,59.78,30.52,29.3,25.15,28.3,19.9,14.35,38.33,82.4,8.5,57.81,81.62,26.5,73.35,57.42,23.86,22.72,51.0,51.44,26.8,27.85,28.97,63.93,171.44,36.1,12.3,42.19,37.95,104.8,49.85,15.2,47.73,25.45,10.3,12.18,42.47,38.25,11.8,47.8,13.3,21.0,41.75,28.9,16.25,80.2,32.0,12.0,80.14,36.26,65.6,52.14,15.67,66.0,22.8,10.25,21.5,37.7,27.94,45.5
47.5,24.56,8.34,8.14,13.64,8.6,40.0,23.5,133.33,24.1,30.1,36.2,12.2,8.43,79.97,13.72,23.35,22.0,15.81,57.11,35.8,23.24,72.0,58.0,34.95,50.76,39.8,17.4,67.3,11.6,30.0,10.4,20.07,10.7,46.1,61.8,46.4,125.91,142.9,33.0,95.5,59.78,30.91,29.15,25.24,28.6,19.85,14.2,36.2,83.5,8.75,57.14,79.96,27.0,73.45,57.23,24.2,21.73,51.0,51.44,27.0,27.75,29.17,61.89,172.93,37.15,12.3,42.09,37.5,101.1,46.6,15.9,47.73,26.0,9.66,12.11,41.42,37.85,10.3,47.5,13.25,20.4,41.9,29.0,16.4,80.2,32.55,12.0,82.62,36.26,65.8,52.14,15.09,66.0,23.2,9.82,21.5,37.0,27.8,46.2
47.8,24.56,7.8,7.61,13.55,8.05,40.65,23.25,134.17,24.35,30.4,34.0,13.0,7.88,80.26,13.31,24.3,20.75,16.1,53.39,36.1,22.27,70.6,58.2,35.05,51.05,39.1,17.4,63.0,11.7,29.9,10.1,20.35,10.4,44.2,58.8,46.7,131.53,143.0,31.85,95.9,59.58,30.91,29.4,25.44,28.35,20.35,14.1,37.13,80.3,8.41,57.52,82.69,26.05,73.25,58.46,24.07,22.09,50.6,51.83,27.9,26.7,29.44,61.12,171.93,37.5,12.25,42.39,37.8,101.0,46.5,16.0,47.18,26.0,9.8,12.14,41.27,37.75,12.15,47.95,13.2,20.45,42.0,29.05,16.7,80.2,32.15,12.2,80.64,36.26,65.5,52.59,15.95,66.6,23.05,9.82,21.5,37.5,28.04,47.25
47.7,25.5,7.4,7.55,12.68,7.7,41.55,23.92,130.62,24.2,30.2,33.3,13.5,7.47,79.77,13.13,24.95,20.8,16.1,55.11,36.0,22.22,70.02,58.5,35.4,48.71,39.7,17.5,58.9,11.9,30.2,10.2,20.44,10.55,45.6,60.0,47.5,129.98,148.8,32.4,95.7,59.19,31.49,29.6,26.11,28.1,19.9,13.7,37.73,84.0,8.83,57.33,82.69,27.2,72.47,58.08,24.03,22.81,51.0,52.22,28.0,26.85,29.48,62.67,174.02,37.6,12.0,42.39,38.0,105.8,47.5,17.2,47.45,25.5,9.9,12.09,42.32,38.15,12.25,48.0,13.5,20.7,40.0,28.95,16.3,80.2,32.8,12.2,81.13,36.99,65.7,52.77,16.48,67.0,23.5,10.55,22.81,37.6,27.99,47.5
46.55,26.0,7.61,7.48,12.86,7.28,40.3,24.17,129.79,23.9,30.45,34.1,12.65,7.44,79.77,13.39,24.9,20.55,16.1,55.49,35.45,21.76,70.6,59.2,35.3,48.93,41.0,18.1,55.5,12.0,30.4,10.4,19.76,10.35,44.75,58.8,48.2,129.01,139.3,32.7,96.0,59.68,32.41,29.15,25.34,28.65,20.0,13.85,37.59,87.9,8.26,55.52,82.98,27.1,71.58,58.36,24.28,23.13,50.4,52.41,28.45,25.9,29.83,62.86,177.9,35.15,12.05,42.19,37.3,105.8,44.8,16.1,48.27,25.5,10.05,12.11,41.42,38.5,11.6,48.5,13.4,21.3,39.7,28.25,16.3,80.2,31.4,12.3,82.12,37.38,65.9,52.59,16.88,67.9,23.95,9.9,22.8,38.1,27.99,47.25
46.5,25.6,7.21,7.12,12.5,6.81,38.7,24.08,127.88,23.35,30.35,33.05,11.85,6.97,78.6,12.75,23.6,19.25,16.1,51.86,35.15,20.37,69.44,58.8,35.1,48.93,39.6,17.8,53.8,12.0,30.35,10.0,19.31,10.15,41.85,55.8,47.9,120.58,130.2,30.7,95.8,60.17,31.39,29.5,25.34,28.6,19.85,13.3,36.67,89.7,7.72,55.8,82.98,25.35,70.6,58.55,24.16,23.31,50.0,52.41,27.5,24.55,29.72,62.09,176.41,34.5,12.2,42.29,37.5,104.9,41.9,15.05,47.27,25.5,9.8,12.0,40.61,37.5,11.8,48.7,12.9,20.4,39.6,28.2,15.8,80.2,31.15,12.0,81.63,36.94,62.2,54.1,16.5,67.0,23.95,9.54,22.8,38.2,27.65,45.9
47.1,25.75,7.3,7.23,12.5,6.73,39.0,24.33,128.13,23.15,30.45,33.05,12.7,6.73,79.28,12.98,22.9,19.15,15.9,48.53,34.7,20.65,65.68,57.8,35.1,48.93,38.95,16.65,53.2,11.95,30.4,10.05,19.17,10.05,40.2,57.1,47.0,122.42,140.0,30.75,97.0,58.51,30.62,29.5,25.15,28.85,20.25,13.15,37.59,91.2,8.29,56.09,82.5,25.7,70.41,58.55,24.45,23.62,50.0,52.22,28.7,23.95,29.56,60.05,174.62,35.45,12.35,42.19,37.8,104.5,42.7,14.35,47.73,25.5,9.77,12.09,39.32,37.35,11.5,48.85,13.15,20.75,39.85,28.2,15.85,80.2,31.2,12.0,82.12,36.69,62.4,54.28,16.88,65.2,24.4,10.25,22.8,38.9,27.36,45.3
47.2,25.5,7.1,7.0,12.36,6.66,37.0,23.75,125.72,22.7,30.1,31.15,13.65,6.62,78.7,12.53,22.95,18.8,15.61,48.62,34.45,19.31,63.74,57.7,35.35,47.37,38.0,16.75,49.73,11.6,29.4,9.97,19.12,10.1,38.2,55.7,45.85,120.1,134.8,30.4,95.6,58.41,30.33,28.85,26.11,28.6,19.8,12.8,36.57,91.3,8.91,55.42,82.01,25.1,71.19,58.08,24.45,22.72,50.0,51.73,28.7,22.4,28.93,60.05,167.96,35.5,12.2,42.09,37.8,104.0,42.3,15.4,47.73,24.9,9.48,11.88,39.41,37.0,11.7,48.0,13.1,20.6,39.9,26.4,15.85,80.2,30.0,12.0,81.13,36.01,61.2,54.28,16.6,65.9,23.45,11.0,22.8,37.35,27.56,45.2
47.6,25.98,6.84,7.09,12.64,6.66,38.35,23.58,126.38,23.0,29.95,31.2,14.65,6.4,79.28,12.42,22.2,19.25,15.71,49.48,34.6,19.58,63.84,58.4,36.0,47.94,37.7,16.7,49.53,12.0,28.75,10.25,18.94,10.05,39.4,52.1,45.6,118.16,126.0,30.0,96.0,58.22,30.67,29.5,26.11,28.05,19.8,12.7,35.65,89.58,9.58,54.94,82.01,24.7,71.29,58.08,24.54,22.63,50.0,51.44,28.85,22.95,28.93,60.34,163.19,36.1,12.2,42.09,37.7,103.2,42.3,16.55,47.45,25.0,9.63,11.88,39.32,36.6,11.85,47.4,13.2,20.9,39.9,26.4,15.9,80.2,30.0,12.0,81.92,36.6,61.4,55.98,17.82,64.6,21.95,11.8,22.8,37.6,27.07,45.2
45.75,25.01,6.75,6.83,12.14,6.31,38.1,22.04,125.63,22.0,28.0,30.2,15.7,6.31,77.44,12.31,22.05,18.1,15.31,48.53,33.5,19.26,61.81,57.5,36.0,46.59,36.1,16.2,48.64,11.5,28.1,10.0,18.36,9.84,40.5,48.7,44.25,114.77,117.8,29.4,94.5,58.12,28.68,28.6,26.21,27.0,19.8,12.35,35.19,89.58,8.96,53.51,82.4,23.1,71.39,57.04,23.01,21.19,49.75,49.01,28.2,22.95,27.76,56.75,154.44,34.9,12.2,42.0,37.8,96.5,40.6,17.75,45.81,25.0,9.31,11.86,39.08,36.0,11.55,46.5,12.9,19.55,39.2,25.65,15.4,80.2,29.5,12.1,81.92,36.84,63.0,56.15,17.07,62.2,20.55,12.65,22.0,36.4,26.97,45.2
47.7,25.5,7.15,7.2,12.55,6.7,40.95,21.67,125.63,23.1,28.1,31.1,16.85,6.55,77.92,12.75,22.8,19.45,15.81,48.62,36.0,20.69,64.03,57.8,37.2,48.5,38.5,17.25,48.93,11.8,30.2,10.3,19.49,10.35,39.17,51.5,47.5,113.03,110.4,29.5,95.5,58.8,30.67,29.0,26.45,28.0,21.0,13.1,37.82,89.58,9.63,55.42,83.86,24.0,71.58,56.66,24.41,22.72,51.3,52.41,28.2,21.5,29.4,59.66,157.52,37.5,12.5,42.48,37.85,103.5,43.55,19.05,47.63,26.2,10.0,11.95,41.99,36.5,11.6,46.8,13.25,21.0,39.7,26.2,16.0,80.2,30.0,12.4,81.43,36.99,62.5,56.42,17.82,65.4,22.0,13.55,23.1,39.0,27.7,45.5
48.6,26.18,7.2,7.66,13.27,6.87,44.0,23.08,126.46,24.0,29.65,32.2,18.1,6.56,79.97,13.5,22.9,20.3,15.9,48.62,38.0,22.22,68.44,60.6,38.55,49.7,40.0,17.65,52.61,12.0,31.0,10.7,20.26,10.8,40.0,52.0,49.0,105.67,103.2,31.0,97.2,59.29,31.78,29.55,27.9,29.3,20.1,13.7,40.65,92.35,10.35,56.09,83.47,25.6,71.58,56.66,24.8,24.34,51.4,54.64,28.25,22.3,31.28,61.8,162.19,39.4,12.5,42.48,37.9,97.9,45.8,20.45,48.55,27.0,10.3,12.28,43.18,38.65,11.85,48.7,13.75,22.3,39.95,26.4,16.2,75.0,30.8,12.5,82.02,36.65,64.2,56.87,18.99,66.3,23.2,14.55,23.4,41.3,27.85,47.0
49.0,26.2,7.27,7.16,13.41,6.65,45.85,23.13,124.72,24.0,29.7,33.25,19.45,6.54,80.55,13.54,23.05,20.7,15.95,49.67,37.85,22.5,68.72,61.1,38.5,49.77,40.0,17.6,54.19,11.9,31.4,10.0,20.57,10.7,38.89,51.9,50.5,98.79,96.5,31.65,98.2,58.8,31.78,30.0,26.11,29.9,20.15,12.85,41.3,90.25,11.1,56.76,83.57,26.9,71.58,57.61,24.71,24.48,51.5,55.23,29.6,20.85,31.28,59.86,162.0,39.3,12.6,42.48,37.9,91.5,47.35,21.95,49.0,27.0,10.15,12.32,43.23,38.5,11.6,49.2,13.95,21.5,39.9,26.2,16.4,77.0,31.0,12.25,82.02,36.21,64.2,57.13,20.39,66.1,23.1,13.6,23.3,40.35,27.75,47.0
48.95,25.8,6.8,7.0,12.82,6.48,44.9,22.67,124.13,23.6,29.8,32.7,20.9,6.12,82.2,12.68,23.0,20.0,15.66,51.2,36.7,22.55,69.28,61.0,38.15,50.83,40.65,17.2,53.3,11.8,30.8,9.98,20.26,10.0,36.39,52.7,49.8,99.76,96.5,31.35,97.1,58.9,32.31,30.8,26.11,28.9,20.0,12.7,42.59,91.01,11.9,57.33,83.47,26.95,72.56,57.7,24.24,25.15,51.8,55.03,29.6,21.25,31.67,59.37,162.39,39.55,12.5,42.48,37.55,91.0,48.2,23.55,49.09,27.0,10.45,12.16,43.04,38.8,12.1,50.0,13.75,21.55,40.05,26.3,16.15,75.0,30.1,12.3,81.92,36.6,64.8,57.49,21.89,66.8,23.9,12.75,23.5,40.4,27.75,47.0
48.4,26.2,6.6,7.12,12.77,6.4,42.3,21.42,126.88,23.6,30.15,30.6,22.45,6.04,82.39,12.68,23.15,19.25,15.66,47.86,36.15,21.57,66.0,62.0,38.0,51.19,41.5,16.7,52.7,12.3,30.4,10.0,20.84,10.05,35.5,53.4,50.4,100.63,90.2,30.2,98.1,59.48,32.07,29.4,25.92,29.9,19.8,12.5,43.89,92.06,12.75,56.47,82.01,26.0,71.58,55.72,24.2,25.24,52.0,55.42,29.7,19.9,31.44,59.08,158.82,38.9,12.85,42.78,37.5,90.2,47.0,25.3,49.09,27.0,10.35,12.18,43.04,36.8,11.8,49.0,14.0,22.4,40.0,26.2,16.3,75.1,29.4,12.3,80.93,37.57,64.5,57.67,21.89,65.1,23.7,11.95,23.1,40.75,27.75,47.5
49.05,24.56,6.75,7.2,12.82,6.11,42.29,21.92,131.04,23.85,30.4,28.6,24.1,6.03,80.94,12.68,23.85,18.0,16.0,44.81,36.1,21.76,66.28,62.2,37.9,48.78,40.4,16.85,53.6,12.0,31.2,10.0,21.61,10.1,35.72,53.0,49.1,96.37,92.9,29.9,98.9,59.0,32.65,29.8,25.92,30.85,19.85,12.6,43.52,90.44,13.7,57.33,78.59,25.15,71.09,55.53,24.2,25.87,52.0,51.83,29.7,18.6,31.98,60.15,161.0,39.75,12.6,42.58,38.1,91.5,46.55,24.25,49.55,25.25,9.68,11.76,42.61,36.95,11.95,47.2,14.2,22.4,40.0,25.6,16.35,79.9,29.95,12.45,78.76,37.57,64.5,57.76,20.49,66.9,24.3,11.2,21.5,40.2,27.99,47.7
49.25,26.2,6.6,7.17,13.27,6.29,43.67,23.13,131.04,23.8,30.85,28.5,22.55,6.15,81.52,13.43,23.8,18.25,16.0,47.19,35.9,22.27,67.03,63.1,38.0,48.43,37.8,16.9,54.29,12.0,31.9,10.2,22.11,10.4,37.11,55.0,48.9,96.46,87.0,30.5,100.0,59.48,32.7,30.0,26.31,30.65,19.85,12.55,43.98,90.82,12.85,57.81,78.59,25.6,70.41,55.15,24.67,26.91,52.6,51.83,29.7,17.4,32.69,62.77,166.27,39.0,12.55,42.78,38.0,93.4,46.8,22.7,49.19,25.85,9.33,12.04,43.37,37.8,11.65,49.9,13.5,21.0,40.25,26.2,16.85,79.9,30.35,12.5,78.96,37.77,64.2,57.49,19.18,68.3,24.55,10.5,23.3,41.3,28.28,48.5
48.65,26.2,6.55,6.71,12.68,6.14,40.83,23.13,130.62,24.0,31.1,26.65,21.1,6.03,81.33,13.28,23.65,17.6,16.05,45.29,35.95,20.83,66.66,62.8,37.9,48.78,37.05,16.8,53.7,11.9,31.65,10.2,22.15,10.45,35.67,52.5,48.5,97.82,93.0,30.3,97.9,59.68,32.94,30.0,26.11,30.45,19.75,12.45,41.67,91.97,12.05,56.47,78.49,25.65,71.09,55.72,24.67,26.64,53.0,51.83,29.3,17.1,33.0,62.67,166.57,37.95,12.9,42.78,38.5,93.1,47.35,21.25,49.09,26.2,9.24,11.72,42.9,37.2,11.7,50.5,13.85,19.65,40.2,25.9,16.9,74.7,29.95,12.7,77.77,38.15,64.0,57.49,17.96,69.6,24.55,9.83,23.3,41.55,28.14,48.8
49.55,25.6,6.55,6.92,12.5,6.1,40.5,23.0,130.21,24.35,30.15,26.0,19.75,6.07,80.16,12.98,23.35,18.05,15.95,43.0,36.7,21.76,64.78,62.4,37.9,49.0,37.2,17.2,54.59,12.35,32.2,10.2,20.84,10.4,33.33,53.6,49.4,95.59,93.0,30.6,96.6,60.46,33.18,30.2,26.55,28.5,19.7,12.5,41.2,91.97,11.3,57.05,78.4,24.2,69.62,55.15,24.84,26.6,52.6,50.66,29.0,17.3,32.45,61.6,165.47,39.1,12.75,42.58,38.5,95.9,46.05,19.9,47.73,26.4,9.33,11.48,42.47,37.5,11.45,48.0,13.8,18.4,40.2,25.4,16.6,69.9,30.7,12.45,77.17,38.84,65.0,56.51,16.78,69.5,24.6,9.19,22.8,40.85,28.14,47.0
48.65,24.56,6.44,7.44,12.95,6.42,43.53,22.13,124.72,23.0,29.9,24.7,18.5,6.12,78.7,13.95,23.0,17.9,15.41,46.05,35.5,22.13,64.5,60.2,36.0,47.72,36.3,16.5,53.5,12.5,31.65,10.25,21.2,10.45,31.89,52.1,46.9,95.4,93.0,29.15,95.0,60.26,31.1,29.8,26.55,28.8,20.4,12.85,39.44,93.3,10.6,55.9,78.59,22.65,70.99,54.3,23.52,26.6,52.9,48.24,29.0,16.65,31.79,58.69,163.88,38.4,12.75,42.58,38.35,93.0,45.05,18.6,47.45,24.95,9.02,11.2,42.08,35.6,11.45,46.65,14.09,17.2,39.85,25.9,16.1,74.9,29.8,12.5,77.77,38.84,64.5,55.8,17.35,66.2,23.45,8.59,21.5,38.2,27.85,45.55
48.0,25.5,6.92,8.0,13.91,6.9,46.79,23.75,122.64,24.5,30.5,26.55,18.4,6.58,78.22,14.99,23.45,19.2,15.76,49.48,37.6,23.75,69.28,61.1,37.7,50.2,39.0,17.45,56.58,11.8,34.0,11.0,20.53,11.2,32.61,56.0,50.0,96.66,93.0,31.3,95.3,61.43,33.43,30.2,28.53,27.9,19.4,13.8,41.2,91.58,9.95,56.76,78.1,24.35,71.78,54.77,24.71,27.95,53.0,51.05,29.0,17.9,34.13,58.69,168.26,37.5,12.7,42.48,38.4,100.0,47.0,18.55,47.27,26.8,9.64,11.29,44.18,37.7,12.3,45.55,14.59,17.7,40.8,26.4,17.2,80.5,32.0,12.7,79.15,38.4,64.8,56.06,18.61,68.0,25.2,9.23,22.5,40.6,28.62,45.6
49.95,25.4,7.41,8.06,14.55,6.85,45.05,25.5,123.14,25.0,31.1,27.3,17.2,6.8,80.45,14.02,25.2,18.95,16.3,49.67,40.4,23.56,72.47,64.2,39.2,53.17,41.1,18.6,58.76,12.3,36.4,10.6,20.44,10.7,34.56,59.4,53.7,97.82,93.0,33.65,96.5,62.51,34.88,31.45,30.66,27.65,20.0,14.45,42.36,91.49,9.3,56.95,79.08,26.0,73.54,54.77,26.24,28.35,53.4,51.73,29.3,18.05,35.66,60.05,168.26,39.9,12.85,42.68,38.26,105.1,48.0,17.35,49.46,28.2,9.86,11.48,45.81,39.85,13.2,45.8,15.45,18.9,42.8,27.7,18.2,80.9,34.3,12.7,79.15,38.93,65.8,56.15,17.67,71.0,27.0,8.63,22.7,40.0,29.01,45.35
51.4,25.52,7.18,8.05,13.95,6.41,42.11,26.67,125.22,25.8,30.45,26.65,16.1,6.59,81.13,13.13,25.8,18.0,16.84,49.58,40.1,22.04,70.22,64.2,39.9,53.52,41.7,18.8,58.56,11.9,37.8,10.5,20.8,10.45,35.33,55.6,55.5,98.89,93.0,33.75,98.3,62.41,35.27,32.0,31.33,28.0,19.85,14.2,39.63,90.25,8.7,56.95,78.1,25.8,74.81,54.77,26.71,26.51,53.8,51.73,29.5,17.8,34.8,62.28,162.49,42.5,12.9,42.68,39.47,108.6,46.0,16.25,50.46,28.5,9.86,11.25,46.04,40.0,12.8,46.15,15.36,19.2,43.55,28.1,18.4,78.4,34.6,12.85,79.55,39.18,65.8,55.26,16.55,73.0,27.9,8.07,22.7,37.4,29.3,45.8
