HGP,E1VFVN30,HAI,DLG,FIT,FLT,HQC,GEX,PVD,MSN,PVI,VRE,DXG,SJF,AMD,VHM,EVG,HVN,SCR,SFG,VGC,BFC,TCH,PHR,BVH,TDM,HAH,KSB,SKG,BCM,VNS,CNG,TTB,LPB,DAH,HTN,NHA,CSV,DHG,SVC,IJC,FPT,DVP,C32,BIC,BMC,STB,SCD,HCD,CTS,MSH,TNI,BMP,NSC,HBC,SFI,UIC,SAV,TVB,LIX,FMC,GMC,FVN,NHH,VHC,DGC,HSG,VTB,SMB,CLC,HDC,TVS,IDI,DHA,APC,FCM,ACC,BMI,GVR,FUCVREIT,DSN,TNA,CMX,TCL,DQC,GSP,PME,PET,PJT,LBM,PAC,SZL,GDT,KHP,GIL,PGC,MCG,FUESSV50,PAN,VSH
37.9,24.56,3.58,5.0,8.82,5.28,22.0,20.15,110.4,19.5,27.4,25.5,10.9,3.95,65.1,7.95,18.35,12.5,15.41,37.5,27.0,12.95,59.6,50.1,35.4,76.1,32.0,14.0,75.8,12.95,33.45,5.37,14.55,8.88,36.5,29.8,43.2,91.4,102.7,17.35,97.0,56.1,25.75,27.4,15.25,21.75,17.8,11.1,21.2,70.0,5.09,54.9,88.9,20.85,71.0,50.9,20.58,9.59,43.0,55.9,20.0,15.6,16.55,91.0,215.0,20.95,13.3,41.35,37.7,56.1,31.45,19.7,45.2,21.5,6.2,14.95,29.58,22.95,10.3,46.0,10.7,17.2,33.0,24.9,11.0,80.2,33.1,11.3,94.8,34.0,58.0,47.9,10.93,62.6,20.1,5.02,21.5,21.0,31.54,48.8
38.2,24.56,3.66,4.99,9.01,5.29,21.9,18.85,103.2,18.85,27.4,26.7,11.1,3.99,65.0,8.1,18.8,12.6,15.51,35.05,26.6,13.05,59.9,50.7,36.45,76.8,32.3,14.05,74.9,13.0,33.0,5.67,14.8,8.9,35.95,30.4,41.7,93.0,102.7,17.5,97.7,56.1,25.75,28.0,15.45,21.75,18.0,11.3,19.9,70.5,5.13,55.4,89.0,20.1,71.9,48.16,20.96,9.67,43.0,55.4,20.0,15.6,17.0,91.0,203.0,21.4,13.2,40.7,37.8,55.6,31.45,19.95,45.95,21.45,6.3,15.0,28.63,23.35,10.3,46.0,10.65,17.6,33.5,24.95,11.1,80.2,33.1,11.35,90.3,34.2,58.0,48.1,10.98,63.7,19.85,5.05,21.5,21.0,29.98,49.6
38.2,21.79,3.72,4.8,9.0,5.45,21.05,18.5,96.5,18.9,27.4,26.2,11.25,4.05,65.0,8.02,19.2,12.3,15.51,32.8,25.6,12.75,58.8,51.2,36.5,72.6,32.05,14.0,70.0,12.4,33.0,5.67,14.0,8.79,34.75,29.4,40.05,92.0,102.7,17.1,99.7,54.9,25.9,27.85,15.65,20.35,18.0,11.0,19.25,69.5,5.16,54.0,89.4,19.25,70.0,51.0,21.13,9.38,42.2,54.8,20.0,15.3,17.55,87.0,192.7,21.15,13.35,40.9,37.45,53.7,29.4,19.6,44.4,21.35,6.25,15.0,27.67,23.35,9.59,45.9,10.95,17.2,33.6,24.4,11.05,80.2,32.9,10.8,95.0,34.25,57.6,49.25,10.44,64.8,19.75,5.2,17.0,20.95,29.01,50.0
36.3,20.7,3.58,4.49,8.42,5.1,19.7,17.3,90.2,17.7,26.25,25.0,10.55,3.81,63.93,7.5,18.1,11.5,14.82,30.7,23.95,11.95,55.0,47.9,35.0,68.0,30.4,13.1,68.2,12.0,31.0,5.3,13.1,8.22,32.5,27.5,37.45,90.5,102.7,16.0,93.2,54.0,24.9,26.05,15.0,19.05,17.5,10.6,18.0,65.0,4.83,53.0,87.4,18.0,70.0,49.96,19.94,8.77,42.0,51.5,20.0,14.3,16.9,81.4,180.1,19.8,13.0,40.8,36.5,50.2,27.5,18.35,41.5,20.85,5.94,14.8,26.48,21.85,9.6,45.5,10.4,16.1,33.3,22.85,10.5,80.2,30.75,11.0,93.4,34.35,57.3,46.8,9.76,60.9,19.1,5.01,17.0,19.6,27.12,47.6
35.9,21.5,3.49,4.39,8.21,5.04,20.6,16.5,96.9,16.55,25.3,26.85,10.6,3.74,66.07,7.86,17.75,12.35,14.77,32.99,23.55,12.05,54.8,50.7,32.8,73.1,30.7,14.05,73.3,11.8,32.65,5.18,12.95,8.83,33.5,29.05,40.25,94.0,102.7,16.15,93.6,53.9,24.5,27.8,15.2,20.45,17.5,10.35,17.6,63.8,4.58,53.3,86.0,18.35,70.6,49.96,19.94,8.62,42.9,55.3,19.75,15.3,17.0,87.5,183.4,21.25,12.25,39.1,36.0,50.1,26.05,19.7,40.65,21.75,5.89,15.25,28.44,21.3,9.7,45.5,10.0,17.3,34.0,23.35,10.1,90.3,33.05,10.7,95.0,34.45,57.5,46.5,9.53,64.1,18.8,5.02,17.5,20.6,29.16,48.0
38.25,21.47,3.75,4.7,8.82,5.41,22.15,17.7,104.1,17.65,26.9,28.85,11.35,4.02,66.95,8.45,19.0,13.25,14.77,35.47,25.3,12.95,58.9,54.5,35.2,78.6,33.0,15.1,78.8,11.8,35.1,5.56,13.9,9.49,36.0,31.2,43.25,96.5,102.7,17.35,95.6,56.4,25.0,28.95,16.3,21.95,18.5,11.1,18.9,68.5,4.9,54.5,90.8,19.7,75.9,51.37,20.49,9.26,45.0,59.4,21.0,16.4,17.0,94.0,197.2,22.8,12.8,41.5,37.0,53.8,28.0,21.15,43.7,22.25,6.33,15.3,30.54,22.9,9.7,45.1,10.3,18.6,35.8,25.1,10.85,90.3,35.5,11.5,95.0,34.95,61.8,49.14,10.24,68.9,19.1,5.39,18.3,22.15,31.34,48.8
40.65,22.8,4.03,5.04,9.48,5.81,23.8,19.0,111.9,18.95,28.9,31.0,12.2,4.32,68.5,9.0,20.3,14.2,14.92,38.14,27.2,13.9,63.3,58.5,37.8,84.4,33.15,16.2,84.7,12.0,37.7,5.97,14.9,10.2,38.7,33.5,46.5,98.0,102.7,18.65,101.9,57.8,25.75,31.1,17.5,23.55,18.4,11.2,20.3,71.6,5.23,55.6,92.0,21.15,76.0,51.47,21.69,9.95,45.5,63.8,20.6,17.6,17.5,101.0,212.0,24.5,12.8,41.9,37.5,57.8,29.8,22.7,46.95,23.9,6.8,14.8,32.83,24.6,9.3,45.4,11.05,20.0,36.8,25.85,11.65,80.2,38.15,11.5,95.9,34.45,60.4,49.73,10.73,74.0,20.0,5.79,19.3,23.8,33.67,51.9
41.1,23.0,3.85,4.86,9.3,5.55,24.0,19.0,116.1,18.7,28.1,30.4,12.0,4.15,67.92,8.88,20.1,13.7,15.61,39.37,27.0,13.75,63.3,60.0,37.3,85.0,32.7,15.9,80.1,12.0,38.0,5.84,14.9,10.0,38.0,31.35,46.4,97.4,102.7,18.5,98.4,57.0,25.5,31.5,17.5,23.9,18.4,10.55,19.8,72.6,5.23,55.25,92.0,20.6,76.0,51.85,20.96,9.9,45.4,64.0,20.55,17.6,17.4,102.0,212.0,24.6,12.8,41.9,37.0,54.1,29.7,23.95,46.15,23.2,6.79,14.5,33.4,24.75,9.3,45.25,10.9,19.9,36.8,26.45,11.95,80.2,39.4,11.3,96.4,34.6,60.9,48.95,10.59,74.9,19.05,5.48,19.4,23.7,32.51,49.55
39.95,22.0,3.71,4.55,8.84,5.19,24.7,17.8,114.9,17.95,28.2,30.3,11.3,3.97,66.07,8.89,19.55,14.25,15.71,40.09,25.4,13.8,61.4,59.4,36.55,81.4,32.65,15.85,74.9,11.5,37.2,6.06,14.65,9.96,37.95,33.7,47.1,97.4,102.7,19.1,94.0,57.0,24.7,30.35,17.3,23.75,18.4,11.3,20.6,75.4,4.98,54.18,92.0,19.4,76.9,50.52,21.05,9.82,46.0,61.3,22.0,18.2,16.6,98.3,214.9,24.2,12.0,42.0,36.95,58.1,29.9,23.2,47.45,22.3,6.96,14.9,32.64,24.95,9.79,45.1,10.2,18.6,36.5,27.0,12.1,80.2,40.7,11.2,96.7,35.0,60.5,49.54,10.88,72.7,19.05,5.48,19.0,23.2,31.87,47.1
41.8,22.99,3.98,4.89,9.5,5.57,26.55,19.1,117.0,19.25,29.6,32.55,12.1,4.26,66.75,9.55,21.0,15.3,16.84,43.09,27.3,14.8,66.0,63.8,39.3,87.5,35.1,17.0,80.5,11.4,40.0,6.51,15.7,10.7,40.8,36.2,50.6,100.8,102.7,20.5,100.2,58.4,26.4,32.6,18.55,25.5,18.6,12.1,22.1,81.0,5.35,57.11,93.0,20.85,79.8,53.83,21.73,10.55,48.0,65.9,22.5,19.55,17.8,105.6,231.0,26.0,12.65,42.4,38.1,62.4,32.1,24.9,51.0,22.4,7.48,16.0,35.07,26.8,9.7,46.8,10.9,20.0,38.9,29.0,13.0,80.2,43.75,11.45,97.0,36.2,60.5,50.91,11.66,78.1,20.1,5.89,20.27,24.9,34.25,50.6
42.05,23.55,4.15,5.25,9.9,5.73,28.5,20.5,119.0,20.5,30.3,35.0,12.7,4.4,66.85,9.8,21.95,16.1,16.94,46.29,29.35,15.45,69.0,64.0,39.7,83.4,37.7,18.2,86.0,11.5,41.9,7.0,16.45,11.45,42.0,38.9,51.3,99.0,102.7,21.5,104.7,58.5,27.2,33.8,19.4,26.9,19.2,12.8,23.75,86.4,5.75,58.18,95.0,21.75,79.8,54.68,22.15,11.3,48.0,66.0,22.5,21.0,18.4,103.0,236.8,24.65,13.25,42.4,37.5,67.0,34.1,24.65,52.06,20.95,7.49,17.0,36.26,28.2,9.98,47.1,11.6,19.75,39.0,31.0,13.2,80.2,47.0,12.0,97.0,35.5,63.0,51.4,12.15,83.9,21.2,6.23,21.75,26.1,32.07,53.8
42.0,23.5,4.26,5.36,10.5,6.01,27.95,20.5,113.1,20.5,29.95,34.7,13.2,4.6,62.67,9.97,22.3,16.1,16.35,44.52,31.55,15.6,68.3,63.0,39.7,84.7,38.5,18.8,84.0,11.45,40.6,7.15,16.8,11.75,43.5,40.0,53.2,99.5,102.7,21.6,104.5,58.0,27.2,33.9,19.25,26.75,19.55,13.0,24.0,85.2,5.74,59.25,95.8,22.8,80.9,51.85,23.01,11.5,48.9,65.9,22.0,21.45,17.8,104.0,239.4,26.35,13.3,42.2,37.8,70.8,34.85,26.5,52.83,20.8,7.59,17.15,35.93,28.05,9.99,47.5,11.65,21.1,39.7,29.45,13.1,80.2,49.0,12.0,98.9,34.95,63.0,50.61,12.29,85.4,21.4,6.15,20.5,26.6,32.46,53.7
43.3,23.96,4.57,5.45,10.6,5.88,28.2,20.3,116.0,20.3,30.9,36.6,13.45,4.94,63.16,10.55,21.75,16.6,17.44,45.0,33.9,16.1,70.0,62.1,39.6,79.7,36.8,19.4,85.9,12.15,39.85,7.26,16.4,11.6,44.0,42.8,52.6,101.1,102.6,21.6,105.0,58.9,27.4,33.25,19.5,27.7,19.7,13.2,25.2,91.6,5.94,60.13,96.7,21.6,80.9,51.85,21.77,12.1,49.65,64.84,21.6,20.3,18.35,104.0,240.9,28.3,13.1,41.85,38.4,73.8,35.2,26.4,51.19,20.2,7.76,17.2,35.69,28.85,9.85,47.9,11.8,20.7,39.0,30.45,12.95,80.2,49.5,12.35,103.5,36.05,62.7,50.91,12.49,83.8,21.55,6.01,21.4,25.6,31.73,53.3
43.1,23.89,4.3,5.1,9.93,5.5,27.35,19.5,116.5,19.4,29.85,35.7,13.4,4.62,62.67,10.5,21.7,16.3,17.29,43.95,32.5,15.7,69.2,60.0,39.85,74.5,36.0,18.5,83.0,13.0,38.45,7.14,16.15,11.6,42.75,41.7,50.2,99.9,102.6,21.1,105.5,58.9,27.75,31.3,19.4,27.7,19.5,13.15,24.8,93.7,5.73,60.04,90.4,21.2,76.3,52.04,21.73,11.85,48.7,62.12,22.1,20.05,18.0,97.5,228.0,28.35,12.6,41.55,38.1,70.1,35.1,24.95,51.1,20.05,7.61,16.95,34.74,28.75,9.7,46.9,11.8,19.35,38.4,28.65,13.0,80.2,47.4,11.9,97.0,35.3,62.7,49.93,12.49,81.0,20.85,5.62,21.27,25.05,29.69,52.0
42.5,24.0,4.09,5.02,9.6,5.29,28.2,19.38,119.0,19.65,30.5,36.0,13.35,4.44,63.16,10.5,21.85,17.05,16.6,43.47,32.0,15.9,70.7,61.5,39.8,70.6,36.1,18.4,78.2,12.3,38.35,7.18,16.25,11.65,41.8,44.5,49.0,99.3,102.6,21.05,103.0,59.4,28.35,31.15,19.15,28.2,20.1,13.25,24.9,94.5,5.49,58.67,90.5,20.65,75.9,49.96,21.52,11.9,48.0,62.02,22.9,20.4,17.3,95.4,227.0,28.9,13.05,41.4,38.1,74.0,34.35,24.6,51.1,19.9,7.6,16.75,34.83,29.1,9.7,46.9,11.8,19.25,38.0,26.8,12.9,80.2,47.1,11.55,92.8,33.5,62.8,49.93,12.29,81.3,20.95,5.81,20.5,25.3,27.75,52.9
41.2,23.55,3.83,4.7,9.0,4.95,28.0,19.38,116.0,19.5,31.05,34.7,12.55,4.17,63.16,9.9,21.5,16.7,16.6,42.04,33.4,15.55,68.6,61.9,40.0,66.0,36.0,18.6,78.3,12.3,38.3,7.15,16.2,10.9,39.9,41.7,48.6,99.7,102.6,20.6,104.3,58.0,27.35,31.15,19.55,27.4,19.1,13.3,24.9,91.0,5.14,58.57,90.2,19.3,76.09,49.96,21.56,11.3,47.3,58.14,23.0,19.5,16.7,89.2,223.0,28.4,12.9,41.2,37.9,69.5,34.6,23.0,50.62,19.75,7.26,16.7,33.97,28.5,9.7,46.8,11.45,18.0,37.95,25.55,12.7,80.2,46.0,11.85,93.0,33.5,62.8,49.93,11.95,79.0,20.2,5.43,20.61,25.0,28.92,54.3
